                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    118,                0.98561,                0.94557,                 1.1443,                0.91847,                0.76338,                0.81414,                0.62986,                0.81412,                0.50626,                0.93073,               0.006172,               0.006172,               0.006172
                    119,                0.98828,                0.93989,                 1.1417,                0.92024,                0.76332,                0.81476,                0.63004,                 0.8135,                0.50586,                 0.9304,               0.006139,               0.006139,               0.006139
                    120,                0.98776,                0.93656,                 1.1419,                0.92451,                0.76214,                 0.8152,                0.63092,                0.81326,                0.50555,                0.93035,               0.006106,               0.006106,               0.006106
                    121,                0.98823,                0.93248,                 1.1426,                0.92317,                0.76271,                0.81517,                0.63081,                0.81286,                0.50537,                0.93025,               0.006073,               0.006073,               0.006073
                    122,                0.98698,                0.93313,                  1.141,                0.92274,                0.76311,                0.81484,                0.63151,                0.81235,                 0.5042,                0.92987,                0.00604,                0.00604,                0.00604
                    123,                0.98437,                0.92742,                 1.1392,                0.92028,                0.76387,                 0.8152,                0.63152,                0.81166,                0.50367,                 0.9293,               0.006007,               0.006007,               0.006007
                    124,                 0.9826,                0.92746,                 1.1347,                0.91875,                0.76463,                0.81512,                 0.6317,                0.81118,                0.50289,                0.92888,               0.005974,               0.005974,               0.005974
                    125,                0.97643,                0.92989,                 1.1402,                0.91732,                0.76522,                0.81586,                 0.6321,                0.81069,                0.50304,                0.92853,               0.005941,               0.005941,               0.005941
                    126,                0.97528,                0.92187,                 1.1342,                0.91407,                0.76582,                 0.8166,                0.63197,                 0.8102,                0.50235,                0.92832,               0.005908,               0.005908,               0.005908
                    127,                0.96252,                0.90552,                 1.1251,                0.91408,                0.76665,                0.81704,                0.63231,                0.80993,                0.50281,                0.92836,               0.005875,               0.005875,               0.005875
                    128,                0.96525,                0.89859,                 1.1275,                0.92052,                0.76457,                0.81738,                0.63224,                 0.8096,                0.50226,                0.92809,               0.005842,               0.005842,               0.005842
                    129,                0.96571,                0.89709,                 1.1278,                0.92646,                0.76228,                0.81721,                0.63298,                0.80875,                0.50282,                0.92834,               0.005809,               0.005809,               0.005809
                    130,                0.94821,                0.88304,                 1.1225,                0.92666,                0.76464,                0.81773,                0.63342,                0.80834,                0.50198,                0.92792,               0.005776,               0.005776,               0.005776
                    131,                0.95276,                0.88884,                 1.1219,                0.92698,                0.76515,                0.81821,                0.63396,                 0.8079,                0.50039,                0.92776,               0.005743,               0.005743,               0.005743
                    132,                0.94592,                0.88338,                 1.1181,                 0.9176,                0.76866,                0.81869,                0.63423,                0.80738,                 0.4993,                0.92751,                0.00571,                0.00571,                0.00571
                    133,                0.95013,                0.88507,                 1.1206,                0.92022,                0.76839,                0.81908,                0.63398,                0.80715,                0.49887,                0.92738,               0.005677,               0.005677,               0.005677
                    134,                0.94449,                0.89076,                  1.118,                0.92008,                0.76882,                0.81944,                0.63467,                0.80681,                0.49869,                0.92715,               0.005644,               0.005644,               0.005644
                    135,                0.94266,                0.88107,                 1.1165,                0.92412,                0.76722,                0.81969,                0.63431,                0.80618,                0.49762,                0.92667,               0.005611,               0.005611,               0.005611
                    136,                0.94276,                0.87359,                 1.1166,                0.92087,                0.76829,                0.81914,                0.63459,                0.80561,                0.49711,                 0.9264,               0.005578,               0.005578,               0.005578
                    137,                0.93962,                0.87412,                 1.1168,                0.91698,                 0.7702,                0.81913,                0.63514,                0.80451,                0.49587,                0.92586,               0.005545,               0.005545,               0.005545
                    138,                0.93701,                0.87287,                 1.1139,                0.91699,                 0.7704,                0.82024,                 0.6353,                 0.8042,                0.49564,                0.92557,               0.005512,               0.005512,               0.005512
                    139,                0.94177,                0.87068,                 1.1136,                0.92115,                0.76948,                0.82032,                0.63562,                0.80365,                0.49489,                0.92529,               0.005479,               0.005479,               0.005479
                    140,                 0.9339,                 0.8726,                  1.114,                0.91892,                0.77103,                0.82113,                 0.6368,                0.80268,                0.49477,                0.92497,               0.005446,               0.005446,               0.005446
                    141,                0.93688,                 0.8647,                 1.1106,                0.92331,                0.76855,                0.82137,                0.63681,                0.80233,                0.49476,                0.92463,               0.005413,               0.005413,               0.005413
                    142,                0.93213,                0.85991,                 1.1112,                0.92529,                0.76878,                0.82208,                 0.6364,                0.80178,                0.49363,                0.92438,                0.00538,                0.00538,                0.00538
                    143,                0.93054,                0.85607,                 1.1083,                0.92858,                0.76799,                0.82176,                0.63675,                0.80094,                 0.4925,                0.92395,               0.005347,               0.005347,               0.005347
                    144,                0.92692,                0.85312,                 1.1038,                0.92811,                0.76804,                0.82169,                0.63646,                0.79992,                0.49171,                0.92328,               0.005314,               0.005314,               0.005314
                    145,                0.92239,                0.85222,                 1.1072,                0.92556,                0.77042,                0.82084,                0.63715,                0.79907,                0.49106,                0.92266,               0.005281,               0.005281,               0.005281
                    146,                0.92514,                0.84911,                 1.1043,                0.92447,                0.77202,                0.82148,                0.63759,                0.79841,                0.49045,                0.92231,               0.005248,               0.005248,               0.005248
                    147,                0.92446,                0.84878,                  1.103,                0.92371,                0.77195,                0.82148,                0.63799,                 0.7978,                0.49009,                0.92193,               0.005215,               0.005215,               0.005215
                    148,                  0.925,                0.85546,                 1.1054,                0.92263,                0.77328,                0.82215,                0.63826,                0.79725,                0.48871,                 0.9217,               0.005182,               0.005182,               0.005182
                    149,                0.92281,                0.84402,                 1.1061,                0.92243,                0.77439,                0.82205,                0.63807,                0.79659,                0.48779,                0.92135,               0.005149,               0.005149,               0.005149
                    150,                0.91683,                0.83869,                 1.0996,                0.92424,                0.77431,                0.82316,                0.63898,                0.79605,                0.48684,                0.92096,               0.005116,               0.005116,               0.005116
                    151,                0.91117,                0.83531,                 1.0984,                 0.9231,                0.77428,                0.82281,                0.63891,                 0.7955,                0.48577,                0.92076,               0.005083,               0.005083,               0.005083
                    152,                0.90462,                0.83271,                 1.0958,                0.92234,                0.77427,                0.82319,                0.63853,                0.79479,                0.48489,                0.92045,                0.00505,                0.00505,                0.00505
                    153,                0.90166,                 0.8194,                 1.0932,                0.92309,                0.77501,                0.82332,                0.63835,                0.79435,                0.48428,                 0.9203,               0.005017,               0.005017,               0.005017
                    154,                0.90551,                0.83253,                 1.0986,                0.92703,                0.77393,                0.82354,                0.63893,                0.79438,                0.48384,                0.92014,               0.004984,               0.004984,               0.004984
                    155,                0.90653,                0.82448,                 1.0942,                0.92585,                0.77478,                0.82376,                0.63919,                0.79412,                0.48306,                0.91995,               0.004951,               0.004951,               0.004951
