                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     81,                 1.1125,                 1.1225,                 1.2347,                0.86452,                0.71456,                0.76806,                0.58327,                0.93716,                0.68459,                 1.0342,               0.007393,               0.007393,               0.007393
                     82,                 1.1176,                 1.1277,                 1.2373,                  0.856,                 0.7214,                0.76941,                 0.5847,                0.93704,                0.68448,                 1.0335,                0.00736,                0.00736,                0.00736
                     83,                 1.1157,                 1.1219,                 1.2334,                 0.8522,                0.72136,                0.76987,                0.58462,                0.93663,                0.68252,                 1.0336,               0.007327,               0.007327,               0.007327
                     84,                 1.1118,                 1.1126,                 1.2279,                0.85791,                0.71946,                0.77007,                0.58431,                0.93527,                0.68037,                 1.0331,               0.007294,               0.007294,               0.007294
                     85,                 1.1123,                 1.1167,                 1.2346,                0.85759,                0.71835,                0.76969,                0.58504,                 0.9342,                0.67916,                 1.0328,               0.007261,               0.007261,               0.007261
                     86,                 1.1061,                 1.1134,                 1.2272,                0.85986,                0.71771,                0.76998,                 0.5853,                0.93325,                0.67727,                 1.0323,               0.007228,               0.007228,               0.007228
                     87,                 1.0998,                 1.0969,                 1.2229,                0.85855,                0.71701,                0.77017,                 0.5851,                0.93306,                0.67646,                 1.0326,               0.007195,               0.007195,               0.007195
                     88,                 1.0878,                 1.0685,                 1.2144,                0.87561,                0.71405,                0.77053,                0.58524,                0.93258,                0.67593,                 1.0326,               0.007162,               0.007162,               0.007162
                     89,                 1.0976,                 1.0916,                 1.2223,                0.86501,                  0.718,                0.77032,                0.58675,                0.93196,                0.67562,                 1.0324,               0.007129,               0.007129,               0.007129
                     90,                 1.0957,                 1.0899,                 1.2204,                0.87891,                0.71204,                0.77104,                0.58686,                0.93084,                0.67417,                 1.0319,               0.007096,               0.007096,               0.007096
                     91,                 1.0931,                 1.0843,                  1.216,                0.86599,                 0.7184,                0.77217,                0.58731,                0.92963,                0.67259,                 1.0312,               0.007063,               0.007063,               0.007063
